2024-09-18 02:15:20,885 - MotorCore - DEBUG - MotorCore Initialized
2024-09-18 02:15:20,885 - MotorCore - DEBUG - Starting MotorCore
2024-09-18 02:15:20,888 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:20,989 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:21,090 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:21,191 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:21,292 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:21,393 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:21,494 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:21,595 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:21,695 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:21,796 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:21,897 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:21,998 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:22,099 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:22,200 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:22,300 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:22,401 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:22,502 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:22,603 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:22,704 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:22,804 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:22,905 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:23,006 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:23,107 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:23,207 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:23,308 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:23,409 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:23,510 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:23,611 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:23,711 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:23,812 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:23,899 - MotorCore - DEBUG - Sent diagnostic data
2024-09-18 02:15:23,913 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:24,014 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:24,114 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:24,215 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:24,316 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:24,417 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:24,518 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:24,618 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:24,719 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:24,820 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:24,921 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:25,022 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:25,123 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:25,223 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:25,324 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:25,425 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:25,527 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:25,628 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:25,729 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
2024-09-18 02:15:25,829 - MotorCore - DEBUG - Back Left: 0.0, Back Right: 0.0, Front Left: 0, Front Right: 0,
